Paper ID,Title,Authors
640,Long-Tail Detection with Effective Class-Margins,Jang Hyun Cho; Philipp Krähenbühl
1448,Multimodal Object Detection via Probabilistic Ensembling,Yi-Ting Chen; Jinghao Shi; Zelin Ye; Christoph Mertz; Deva Ramanan; Shu Kong
1791,Improving Robustness by Enhancing Weak Subnets,Yong Guo; David Stutz; Bernt Schiele
6108,Vote from the Center: 6 DoF Pose Estimation in RGB-D Images by Radial Keypoint Voting,Yangzheng Wu; Mohsen Zand; Ali Etemad; Michael Greenspan
2691,Monocular 3D Object Detection with Depth from Motion,Tai Wang; Jiangmiao Pang; Dahua Lin
561,Particle Video Revisited: Tracking through Occlusions Using Point Trajectories,Adam W. Harley; Zhaoyuan Fang; Katerina Fragkiadaki
2385,A Perturbation-Constrained Adversarial Attack for Evaluating the Robustness of Optical Flow,Jenny Schmalfuss; Philipp Scholze; Andrés Bruhn
2623,Social-SSL: Self-Supervised Cross-Sequence Representation Learning Based on Transformers for Multi-agent Trajectory Prediction,Li-Wu Tsao; Yan-Kai Wang; Hao-Siang Lin; Hong-Han Shuai; Lai-Kuan Wong; Wen-Huang Cheng
2874,Diverse Human Motion Prediction Guided by Multi-level Spatial-Temporal Anchors,Sirui Xu; Yu-Xiong Wang; Liang-Yan Gui
4806,TEMOS: Generating Diverse Human Motions from Textual Descriptions,Mathis Petrovich; Michael J. Black; Gül Varol
7092,PREF: Predictability Regularized Neural Motion Fields,Liangchen Song; Xuan Gong; Benjamin Planche; Meng Zheng; David Doermann; Junsong Yuan; Terrence Chen; Ziyan Wu
1980,How Severe Is Benchmark-Sensitivity in Video Self-Supervised Learning?,Fida Mohammad Thoker; Hazel Doughty; Piyush Bagad; Cees G. M. Snoek
5549,Decoupled Contrastive Learning,Chun-Hsiao Yeh; Cheng-Yao Hong; Yen-Chi Hsu; Tyng-Luh Liu; Yubei Chen; Yann LeCun
5036,3D Clothed Human Reconstruction in the Wild,Gyeongsik Moon; Hyeongjin Nam; Takaaki Shiratori; Kyoung Mu Lee
1353,MTFormer: Multi-task Learning via Transformer and Cross-Task Reasoning,Xiaogang Xu; Hengshuang Zhao; Vibhav Vineet; Ser-Nam Lim; Antonio Torralba
6454,Towards Accurate Network Quantization with Equivalent Smooth Regularizer,Kirill Solodskikh; Vladimir Chikin; Ruslan Aydarkhanov; Dehua Song; Irina Zhelavskaya; Jiansheng Wei
6203,PatchRD: Detail-Preserving Shape Completion by Learning Patch Retrieval and Deformation,Bo Sun; Vladimir G. Kim; Noam Aigerman; Qixing Huang; Siddhartha Chaudhuri
